v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
Bag,Bag,,,,,,1,3,Bag,Bag,Bag
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Heels,Heels,,,,shoes,,1,5,Heels,Heels,Heels
Handbags,Handbags,,,,Bag,,1,6,Handbags,Handbags,Handbags
Slippers,Slippers,,,,shoes,,1,7,Slippers,Slippers,Slippers
Denim Shorts,Denim Shorts,,,,clothes,,1,8,Denim Shorts,Denim Shorts,Denim Shorts
Shorts,Shorts,,,,clothes,,1,9,Shorts,Shorts,Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,jewelry,,1,11,Rings,Rings,Rings
Earrings,Earrings,,,,jewelry,,1,12,Earrings,Earrings,Earrings
Dresses,Dresses,,,,clothes,,1,13,Dresses,Dresses,Dresses
