v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Bags,Bags,,,,,,1,2,Bags,Bags,Bags
garment,garment,,,,,,1,3,garment,garment,garment
ornaments,ornaments,,,,,,1,4,ornaments,ornaments,ornaments
Women Tops,Women Tops,,,,garment,,1,5,Women Tops,Women Tops,Women Tops
Handbags,Handbags,,,,Bags,,1,6,Handbags,Handbags,Handbags
Sandals,Sandals,,,,shoes,,1,7,Sandals,Sandals,Sandals
Rings,Rings,,,,ornaments,,1,8,Rings,Rings,Rings
Earrings,Earrings,,,,ornaments,,1,9,Earrings,Earrings,Earrings
Flats,Flats,,,,shoes,,1,10,Flats,Flats,Flats
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,11,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Denim Shorts,Denim Shorts,,,,garment,,1,12,Denim Shorts,Denim Shorts,Denim Shorts
Shorts,Shorts,,,,garment,,1,13,Shorts,Shorts,Shorts
